Date,portfolio_return,portfolio_cum,portfolio_vol_30d,portfolio_drawdown
2020-09-08,0.0,1.0,,0.0
2020-09-09,0.056013818825955,1.056013818825955,,0.0
2020-09-10,-0.023524717099887116,1.031171392484503,,-0.023524717099887037
2020-09-11,-0.009801847783215472,1.0210640074569635,,-0.03309597918694626
2020-09-14,0.037343469127546304,1.0591940796966812,,0.0
2020-09-15,0.020467038914413628,1.08087264614375,,0.0
2020-09-16,-0.025317775796776066,1.0535073548238143,,-0.02531777579677612
2020-09-17,-0.01734819211820607,1.0352309068343877,,-0.042226750276454054
2020-09-18,-0.010794931566483226,1.024055660039602,,-0.052565846963428045
2020-09-21,0.016961754205272517,1.041425440437712,,-0.03649570173394113
2020-09-22,0.014078602054477389,1.0560872547830433,,-0.022930908140874767
2020-09-23,-0.048521027444070275,1.0048448161103825,,-0.0703393043617242
2020-09-24,0.013251490405031553,1.018160507549615,,-0.058019914573538556
2020-09-25,0.0342681058354745,1.0530509395798258,,-0.02574004131123511
2020-09-28,0.019430361467978344,1.073512099980056,,-0.006809818150134728
2020-09-29,-0.0037848215803524595,1.069449048217282,,-0.010568865783794274
2020-09-30,0.01512858728661265,1.085628301491822,,0.0
2020-10-01,0.0167684587289069,1.103832614860321,,0.0
2020-10-02,-0.03899103041779279,1.0607930437981505,,-0.038991030417792755
2020-10-05,0.028697730694371117,1.0912353968915323,,-0.011412253813847325
2020-10-06,-0.019994542987860756,1.0694166438385093,,-0.03117861400223865
2020-10-07,0.021743058758049383,1.092669032762326,,-0.010113473680434412
2020-10-08,-0.001195290247360037,1.0913629761238728,,-0.011296675391337435
2020-10-09,0.017461001983764837,1.1104192672149793,,0.0
2020-10-12,0.038289485308865404,1.1529366494336883,,0.0
2020-10-13,-0.0018288554002392598,1.1508280950162377,,-0.0018288554002393075
2020-10-14,-0.003962745183938205,1.1462676565251713,,-0.0057843532962481735
2020-10-15,-0.009456975867420258,1.1354274309598085,,-0.01518662667413707
2020-10-16,-0.012097006445657244,1.1216921580089116,,-0.02709992039902947
2020-10-19,-0.022861093774256575,1.0960490483988217,0.3863904672561399,-0.04934148035176896
2020-10-20,0.0028446808027948133,1.0991669580857233,0.38626425775884277,-0.046637160310912334
2020-10-21,-0.0044286092672461645,1.0942991771088941,0.3530778658464732,-0.0508592318178075
2020-10-22,-0.0036524289932701303,1.09030232706711,0.3454903016921123,-0.054325901078210836
2020-10-23,0.0037097377241809013,1.094347062740593,0.343663549959429,-0.05081769819866
2020-10-26,-0.013662299580794384,1.0793957653240687,0.3303132721198622,-0.06378571116265778
2020-10-27,0.016872073064862148,1.0976074095425192,0.3286170475706906,-0.04798983527702612
2020-10-28,-0.047256162202197034,1.0457386957628445,0.34922721314123195,-0.0929781820393154
2020-10-29,0.02104128420600442,1.0677423808656068,0.3503885110249755,-0.07389327818655793
2020-10-30,-0.040687998921791216,1.0242980800241963,0.3695207404372739,-0.11157470748516676
2020-11-02,0.003142659783410884,1.0275171004065133,0.3662532330563376,-0.10878268904781534
2020-11-03,0.026795220500761198,1.0550496476802085,0.372361276469746,-0.08490232468675624
2020-11-04,0.04374438727672206,1.1012021480645007,0.363290375896415,-0.04487193758182565
2020-11-05,0.031457435922746683,1.1358431440752306,0.37136153026664226,-0.01482605776028886
2020-11-06,0.0021610780282765754,1.1382977897374602,0.36004613337631775,-0.012697019999683942
2020-11-09,-0.03589544706893635,1.097438081677252,0.3733636395690006,-0.048136701859288394
2020-11-10,-0.03247797739945803,1.0617955124632337,0.38562135052127877,-0.07905129654367596
2020-11-11,0.03200349366096611,1.0957766784155931,0.3943588304320619,-0.04957772055053646
2020-11-12,-0.004831031305085415,1.090482946978785,0.3916273313321901,-0.054169240335607445
2020-11-13,-0.0010454566818073774,1.089342894295469,0.37393369684091365,-0.055158065423157425
2020-11-16,0.005852143486236815,1.0957178852185987,0.365068063952506,-0.04962871485020011
2020-11-17,0.006537637117925648,1.1028812911357786,0.3602597693692358,-0.043415532260594254
2020-11-18,0.007247421451667478,1.1108743366637988,0.35552256490198253,-0.03648276146876778
2020-11-19,0.007429502701852742,1.1191275805494614,0.3559816891419873,-0.029324307541818247
2020-11-20,-0.013858861934460148,1.1036177459235799,0.3550312079105624,-0.042776767946732776
2020-11-23,0.0043285563546203824,1.1083948175307694,0.3363900529212541,-0.038633373242838165
2020-11-24,0.01491351659769603,1.124924882038815,0.33955732479888917,-0.024296016098224085
2020-11-25,0.015109331356516532,1.1419217448327297,0.34237252590248035,-0.009553781299578847
2020-11-27,0.006673532834337281,1.1495423970911145,0.3416512743301948,-0.002944005938436487
2020-11-30,-0.0013721389812598457,1.147965065157455,0.33958546376581383,-0.004312105334387149
2020-12-01,0.01631323239636899,1.1666920860482815,0.3346158214337397,0.0
2020-12-02,-0.003193717224503822,1.1629660014373768,0.3349879103733818,-0.0031937172245037632
2020-12-03,0.0016957887368029053,1.1649381460838992,0.3344206700219852,-0.001503344357398546
2020-12-04,0.0013557940787499829,1.16651756232447,0.3339603350831591,-0.00014958850402652503
2020-12-07,0.01349525673277488,1.1822600163113293,0.33547679534492275,0.0
2020-12-08,0.0023697433464698542,1.1850616691187803,0.33184019890312055,0.0
2020-12-09,-0.03041295978593579,1.1490204362320169,0.3431780822476257,-0.030412959785935795
2020-12-10,0.006959828765285336,1.1570174217160054,0.31029387727728547,-0.023664800013005888
2020-12-11,-0.0005854252163006888,1.1563400745416337,0.30600860536508956,-0.02423637125864023
2020-12-14,0.014555813985383336,1.173171545570506,0.27836138227430257,-0.010033337384978292
2020-12-15,0.00968703913863494,1.1845361042487805,0.2786928606698954,-0.0004434915782826613
2020-12-16,0.006446650732398192,1.192172394792788,0.2709333590728318,0.0
2020-12-17,0.010722972976258748,1.204956027165193,0.244709953513681,0.0
2020-12-18,0.001651519844094191,1.2069460359553172,0.22949341678996593,0.0
2020-12-21,-0.0014889007947384448,1.205149013043177,0.22973252075294487,-0.0014889007947384003
2020-12-22,0.004222839934122202,1.2102381644220237,0.19967604223979313,0.0
2020-12-23,-0.008710983894204926,1.1996957992635913,0.17268243889678883,-0.008710983894204967
2020-12-24,0.006137684944233501,1.2070591541083917,0.15136634807254318,-0.00262676422466829
2020-12-28,0.015639168172652405,1.2259365552138324,0.1534547107703424,0.0
2020-12-29,-5.5311197166818516e-05,1.225868747195313,0.15320091452809712,-5.531119716683785e-05
2020-12-30,0.0029767907659047355,1.229517901962175,0.15312367098132107,0.0
2020-12-31,-0.0014965968317671055,1.2276778093654974,0.1536873659434146,-0.0014965968317670819
2021-01-04,-0.008558342252618274,1.2171709224970029,0.15723651854103182,-0.010042130696484883
2021-01-05,0.01025514570285453,1.2296531876524877,0.15812362961794763,0.0
2021-01-06,-0.025726695320944563,1.198018274743324,0.17234593781234256,-0.02572669532094451
2021-01-07,0.038937366583259914,1.2446659514804495,0.20170672219016123,0.0
2021-01-08,0.015301838609988249,1.263711628993351,0.20189317632700246,0.0
2021-01-11,-0.017917926912345405,1.2410685363867673,0.2086288344646886,-0.017917926912345318
2021-01-12,0.0022691937487379684,1.2438847613512916,0.20832002442148873,-0.015689392411347154
2021-01-13,0.009347839867362318,1.2555123969138555,0.2088083625171394,-0.006488214471862399
2021-01-14,-0.01584072121533698,1.2356241750519437,0.21186496242812916,-0.022226157690565265
2021-01-15,-0.013173138289898578,1.2193471269196425,0.21592665093960803,-0.03510650773155295
2021-01-19,0.01252237976079441,1.234616254703164,0.2182063712577693,-0.023023744992648178
2021-01-20,0.031112439196964325,1.2730281778592,0.23388760261418645,0.0
2021-01-21,0.017250615700376483,1.2949886977311995,0.2355959466102948,0.0
2021-01-22,0.0014685690765963155,1.2968904780872292,0.2356362445926092,0.0
2021-01-25,0.014794091065003668,1.316076793921388,0.21528639334157176,0.0
2021-01-26,0.002532984349418299,1.3194103958430237,0.21525125048798385,0.0
2021-01-27,-0.017467547612114383,1.296363531933717,0.2240807027264816,-0.017467547612114352
2021-01-28,-0.0031371541814573015,1.2922966396588225,0.22264141689559563,-0.020549903403540445
2021-01-29,-0.025178894423469423,1.2597580390050487,0.2364836909965947,-0.04521137397879962
2021-02-01,0.03267235624173008,1.300917302433805,0.2522997551142023,-0.014016179853882918
2021-02-02,0.014064691630597027,1.3192143031294448,0.2533681831654011,-0.00014862147076960677
2021-02-03,-0.005403869779598603,1.3120854408239493,0.254552409389824,-0.0055516881192937476
2021-02-04,0.0064011299883960935,1.3204842702865454,0.2543942431380017,0.0
2021-02-05,-0.00012854075328556659,1.320314534243741,0.25455100405507675,-0.00012854075328554599
2021-02-08,0.013199266382811714,1.3377417174903221,0.2536889118342389,0.0
2021-02-09,-0.005910316144685707,1.3298352410200194,0.25510683694544894,-0.005910316144685782
2021-02-10,-0.003856833506517327,1.324706287904306,0.2532019322652206,-0.009744354545862121
2021-02-11,0.007712476508035949,1.3349230540298151,0.25346587896085565,-0.002107031143347263
2021-02-12,-0.0011505808503339044,1.3333871171271792,0.2537466753861986,-0.003255187683996593
2021-02-16,-0.0037965627188097425,1.3283248293085528,0.254174635919571,-0.00703939187860265
