Date,Close,Ticker
2020-09-08,112.82,AAPL
2020-09-08,157.492,AMZN
2020-09-08,202.66,MSFT
2020-09-08,11.913,NVDA
2020-09-08,3331.8,SP500
2020-09-08,110.07,TSLA
2020-09-09,117.32,AAPL
2020-09-09,163.4305,AMZN
2020-09-09,211.29,MSFT
2020-09-09,12.715,NVDA
2020-09-09,3399.0,SP500
2020-09-09,122.0933,TSLA
2020-09-10,113.49,AAPL
2020-09-10,158.7555,AMZN
2020-09-10,205.37,MSFT
2020-09-10,12.3118,NVDA
2020-09-10,3339.2,SP500
2020-09-10,123.78,TSLA
2020-09-11,112.0,AAPL
2020-09-11,155.811,AMZN
2020-09-11,204.03,MSFT
2020-09-11,12.1645,NVDA
2020-09-11,3341.0,SP500
2020-09-11,124.24,TSLA
2020-09-14,115.355,AAPL
2020-09-14,155.1485,AMZN
2020-09-14,205.41,MSFT
2020-09-14,12.8723,NVDA
2020-09-14,3383.5,SP500
2020-09-14,139.8733,TSLA
2020-09-15,115.54,AAPL
2020-09-15,157.8065,AMZN
2020-09-15,208.78,MSFT
2020-09-15,12.991,NVDA
2020-09-15,3401.2,SP500
2020-09-15,149.92,TSLA
2020-09-16,112.13,AAPL
2020-09-16,153.905,AMZN
2020-09-16,205.05,MSFT
2020-09-16,12.5145,NVDA
2020-09-16,3385.5,SP500
2020-09-16,147.2533,TSLA
2020-09-17,110.34,AAPL
2020-09-17,150.4365,AMZN
2020-09-17,202.91,MSFT
2020-09-17,12.4635,NVDA
2020-09-17,3357.0,SP500
2020-09-17,141.1433,TSLA
2020-09-18,106.84,AAPL
2020-09-18,147.7455,AMZN
2020-09-18,200.39,MSFT
2020-09-18,12.1893,NVDA
2020-09-18,3319.5,SP500
2020-09-18,147.3833,TSLA
2020-09-21,110.08,AAPL
2020-09-21,148.0235,AMZN
2020-09-21,202.54,MSFT
2020-09-21,12.5173,NVDA
2020-09-21,3281.1,SP500
2020-09-21,149.7967,TSLA
2020-09-22,111.81,AAPL
2020-09-22,156.4495,AMZN
2020-09-22,207.42,MSFT
2020-09-22,12.6378,NVDA
2020-09-22,3315.6,SP500
2020-09-22,141.41,TSLA
2020-09-23,107.12,AAPL
2020-09-23,149.993,AMZN
2020-09-23,200.59,MSFT
2020-09-23,12.1238,NVDA
2020-09-23,3236.9,SP500
2020-09-23,126.7867,TSLA
2020-09-24,108.22,AAPL
2020-09-24,150.9895,AMZN
2020-09-24,203.19,MSFT
2020-09-24,12.348,NVDA
2020-09-24,3246.6,SP500
2020-09-24,129.2633,TSLA
2020-09-25,112.28,AAPL
2020-09-25,154.7565,AMZN
2020-09-25,207.82,MSFT
2020-09-25,12.8738,NVDA
2020-09-25,3298.5,SP500
2020-09-25,135.78,TSLA
2020-09-28,114.96,AAPL
2020-09-28,158.7025,AMZN
2020-09-28,209.44,MSFT
2020-09-28,13.035,NVDA
2020-09-28,3351.6,SP500
2020-09-28,140.4,TSLA
2020-09-29,114.09,AAPL
2020-09-29,157.244,AMZN
2020-09-29,207.26,MSFT
2020-09-29,13.2258,NVDA
2020-09-29,3335.5,SP500
2020-09-29,139.69,TSLA
2020-09-30,115.81,AAPL
2020-09-30,157.4365,AMZN
2020-09-30,210.33,MSFT
2020-09-30,13.5305,NVDA
2020-09-30,3363.0,SP500
2020-09-30,143.0033,TSLA
2020-10-01,116.79,AAPL
2020-10-01,161.063,AMZN
2020-10-01,212.46,MSFT
2020-10-01,13.6145,NVDA
2020-10-01,3380.8,SP500
2020-10-01,149.3867,TSLA
2020-10-02,113.02,AAPL
2020-10-02,156.25,AMZN
2020-10-02,206.19,MSFT
2020-10-02,13.0623,NVDA
2020-10-02,3348.4,SP500
2020-10-02,138.3633,TSLA
2020-10-05,116.5,AAPL
2020-10-05,159.96,AMZN
2020-10-05,210.38,MSFT
2020-10-05,13.6425,NVDA
2020-10-05,3408.6,SP500
2020-10-05,141.8933,TSLA
2020-10-06,113.16,AAPL
2020-10-06,154.998,AMZN
2020-10-06,205.91,MSFT
2020-10-06,13.7365,NVDA
2020-10-06,3360.9,SP500
2020-10-06,137.9933,TSLA
2020-10-07,115.08,AAPL
2020-10-07,159.7845,AMZN
2020-10-07,209.83,MSFT
2020-10-07,13.964,NVDA
2020-10-07,3419.4,SP500
2020-10-07,141.7667,TSLA
2020-10-08,114.97,AAPL
2020-10-08,159.5275,AMZN
2020-10-08,210.58,MSFT
2020-10-08,13.8387,NVDA
2020-10-08,3446.8,SP500
2020-10-08,141.9733,TSLA
2020-10-09,116.97,AAPL
2020-10-09,164.3325,AMZN
2020-10-09,215.81,MSFT
2020-10-09,13.7628,NVDA
2020-10-09,3477.1,SP500
2020-10-09,144.6667,TSLA
2020-10-12,124.4,AAPL
2020-10-12,172.1465,AMZN
2020-10-12,221.4,MSFT
2020-10-12,14.226,NVDA
2020-10-12,3534.2,SP500
2020-10-12,147.4333,TSLA
2020-10-13,121.1,AAPL
2020-10-13,172.1815,AMZN
2020-10-13,222.86,MSFT
2020-10-13,14.2482,NVDA
2020-10-13,3511.9,SP500
2020-10-13,148.8833,TSLA
2020-10-14,121.19,AAPL
2020-10-14,168.1855,AMZN
2020-10-14,220.86,MSFT
2020-10-14,14.0953,NVDA
2020-10-14,3488.7,SP500
2020-10-14,153.7667,TSLA
2020-10-15,120.71,AAPL
2020-10-15,166.9325,AMZN
2020-10-15,219.66,MSFT
2020-10-15,13.97,NVDA
2020-10-15,3483.3,SP500
2020-10-15,149.6267,TSLA
2020-10-16,119.02,AAPL
2020-10-16,163.6355,AMZN
2020-10-16,219.66,MSFT
2020-10-16,13.8115,NVDA
2020-10-16,3483.8,SP500
2020-10-16,146.5567,TSLA
2020-10-19,115.98,AAPL
2020-10-19,160.3605,AMZN
2020-10-19,214.22,MSFT
2020-10-19,13.4978,NVDA
2020-10-19,3426.9,SP500
2020-10-19,143.61,TSLA
2020-10-20,117.51,AAPL
2020-10-20,160.8505,AMZN
2020-10-20,214.65,MSFT
2020-10-20,13.6455,NVDA
2020-10-20,3443.1,SP500
2020-10-20,140.6467,TSLA
2020-10-21,116.87,AAPL
2020-10-21,159.247,AMZN
2020-10-21,214.8,MSFT
2020-10-21,13.5248,NVDA
2020-10-21,3435.6,SP500
2020-10-21,140.88,TSLA
2020-10-22,115.75,AAPL
2020-10-22,158.82,AMZN
2020-10-22,214.89,MSFT
2020-10-22,13.361,NVDA
2020-10-22,3453.5,SP500
2020-10-22,141.93,TSLA
2020-10-23,115.04,AAPL
2020-10-23,160.22,AMZN
2020-10-23,216.23,MSFT
2020-10-23,13.5903,NVDA
2020-10-23,3465.4,SP500
2020-10-23,140.21,TSLA
2020-10-26,115.05,AAPL
2020-10-26,160.352,AMZN
2020-10-26,210.08,MSFT
2020-10-26,13.1412,NVDA
2020-10-26,3401.0,SP500
2020-10-26,140.0933,TSLA
2020-10-27,116.6,AAPL
2020-10-27,164.3165,AMZN
2020-10-27,213.25,MSFT
2020-10-27,13.3968,NVDA
2020-10-27,3390.7,SP500
2020-10-27,141.56,TSLA
2020-10-28,111.2,AAPL
2020-10-28,158.139,AMZN
2020-10-28,202.68,MSFT
2020-10-28,12.627,NVDA
2020-10-28,3271.0,SP500
2020-10-28,135.34,TSLA
2020-10-29,115.32,AAPL
2020-10-29,160.5505,AMZN
2020-10-29,204.72,MSFT
2020-10-29,13.024,NVDA
2020-10-29,3310.1,SP500
2020-10-29,136.9433,TSLA
2020-10-30,108.86,AAPL
2020-10-30,151.8075,AMZN
2020-10-30,202.47,MSFT
2020-10-30,12.534,NVDA
2020-10-30,3270.0,SP500
2020-10-30,129.3467,TSLA
2020-11-02,108.77,AAPL
