Date,AAPL,AMZN,MSFT,NVDA,SP500,TSLA
2021-01-04,129.41,159.3315,217.69,13.1135,3700.7,243.2566
2021-01-05,131.01,160.9255,217.9,13.4048,3726.9,245.0366
2021-01-06,126.6,156.919,212.25,12.6145,3748.1,251.9933
2021-01-07,130.92,158.108,218.29,13.344,3803.8,272.0133
2021-01-08,132.05,159.135,219.62,13.2768,3824.7,293.34
2021-01-11,128.98,155.7105,217.49,13.6215,3799.6,270.3966
2021-01-12,128.8,156.0415,214.93,13.4848,3801.2,283.1466
2021-01-13,130.89,158.2945,216.34,13.5318,3809.8,284.8033
2021-01-14,128.91,156.3735,213.02,13.2003,3795.5,281.6666
2021-01-15,127.14,155.2125,212.65,12.8595,3768.2,275.3866
2021-01-19,127.83,156.038,216.44,13.0253,3798.9,281.5166
2021-01-20,132.03,163.169,224.34,13.3658,3851.8,283.4833
2021-01-21,136.87,165.3495,224.97,13.8675,3853.1,281.6633
2021-01-22,139.07,164.6115,225.95,13.7125,3841.5,282.2133
2021-01-25,142.92,164.7,229.53,13.6533,3855.4,293.6
2021-01-26,143.16,166.3065,232.33,13.4353,3849.6,294.3633
2021-01-27,142.06,161.629,232.9,12.9178,3750.8,288.0533
2021-01-28,137.09,161.881,238.93,13.051,3787.4,278.4766
2021-01-29,131.96,160.31,231.96,12.9898,3714.2,264.51
2021-02-01,134.14,167.144,239.65,13.237,3773.9,279.9366
2021-02-02,134.99,169.0,239.51,13.5568,3826.3,290.93
2021-02-03,133.94,165.6265,243.0,13.5305,3830.2,284.8966
2021-02-04,137.39,166.55,242.01,13.6643,3871.7,283.33
2021-02-05,136.76,167.6075,242.2,13.591,3886.8,284.0766
2021-02-08,136.91,166.147,242.47,14.4387,3915.6,287.8066
2021-02-09,136.01,165.25,243.77,14.2632,3911.2,283.1533
2021-02-10,135.39,164.329,242.82,14.7643,3909.9,268.2733
2021-02-11,135.13,163.1065,244.49,15.2508,3916.4,270.5533
2021-02-12,135.37,163.8855,244.99,14.9613,3934.8,272.04
2021-02-16,133.19,163.4475,243.7,15.3303,3932.6,265.4066
2021-02-17,130.84,165.432,244.2,14.906,3931.3,266.05
2021-02-18,129.71,166.4115,243.79,14.829,3914.0,262.46
2021-02-19,129.87,162.495,240.97,14.9265,3906.7,260.4333
2021-02-22,126.0,159.037,234.51,14.3558,3876.5,238.1666
2021-02-23,125.86,159.725,233.27,14.142,3881.4,232.9466
2021-02-24,125.35,157.9765,234.55,14.499,3925.4,247.34
2021-02-25,120.99,152.858,228.99,13.3075,3829.3,227.4066
2021-02-26,121.26,154.6465,232.38,13.7145,3811.2,225.1666
2021-03-01,127.79,157.307,236.94,13.8417,3901.8,239.4766
2021-03-02,125.12,154.7265,233.87,13.4063,3870.3,228.8133
2021-03-03,122.06,150.25,227.56,12.8048,3819.7,217.7333
2021-03-04,120.13,148.8785,226.73,12.3703,3768.5,207.1466
2021-03-05,121.42,150.023,231.6,12.4615,3841.9,199.3166
2021-03-08,116.36,147.5975,227.39,11.5933,3821.3,187.6666
2021-03-09,121.085,153.1425,233.78,12.5203,3875.4,224.5266
2021-03-10,119.98,152.882,232.42,12.4683,3898.8,222.6866
2021-03-11,121.96,155.6795,237.13,12.9935,3939.3,233.2
2021-03-12,121.03,154.4745,235.75,12.856,3943.3,231.2433
2021-03-15,123.99,154.084,234.81,13.1913,3968.9,235.98
2021-03-16,125.57,154.593,237.71,13.2913,3962.7,225.6266
2021-03-17,124.76,156.7865,237.04,13.3413,3974.1,233.9366
2021-03-18,120.53,151.3995,230.72,12.7225,3915.5,217.72
2021-03-19,119.99,153.748,230.35,12.8458,3913.1,218.29
2021-03-22,123.39,155.5435,235.99,13.1863,3940.6,223.3333
2021-03-23,122.54,156.875,237.58,13.0708,3910.5,220.72
2021-03-24,120.09,154.3535,235.46,12.643,3889.1,210.09
2021-03-25,120.59,152.313,232.34,12.5353,3909.5,213.4633
2021-03-26,121.21,152.6015,236.48,12.8393,3974.5,206.2366
2021-03-29,121.39,153.7865,235.24,12.9483,3971.1,203.7633
2021-03-30,119.9,152.7645,231.85,12.8718,3958.6,211.8733
2021-03-31,122.15,154.704,235.77,13.3483,3972.9,222.6433
2021-04-01,123.0,158.05,242.35,13.8118,4019.9,220.5833
2021-04-05,125.9,161.3365,249.07,13.9875,4077.9,230.35
2021-04-06,126.21,161.191,247.86,13.8615,4073.9,230.54
2021-04-07,127.9,163.9695,249.9,14.1435,4079.9,223.6566
2021-04-08,130.36,164.965,253.25,14.317,4097.2,227.9333
2021-04-09,132.995,168.61,255.85,14.4,4128.8,225.6733
